spot,latitude,longitude,AHC_class,nearest_slope,distance_to_slope_point
1,47.33254,-0.84913,1,steep,0.00033541019662461374
2,47.33257,-0.84916,2,steep,0.0003612478373639965
3,47.33265,-0.84922,3,steep,0.00037536648758330747
4,47.33267,-0.84926,3,steep,0.000332415402773256
5,47.33273,-0.84933,4,steep,0.00024041630560641428
6,47.33274,-0.84938,5,steep,0.00020000000000084395
7,47.33277,-0.84945,6,steep,0.00013928388277719347
8,47.33284,-0.84952,4,steep,6.324555320795981e-05
9,47.33288,-0.84962,4,steep,2.8284271246940655e-05
10,47.33297,-0.84969,4,moderate,3.162277659725666e-05
11,47.33299,-0.84968,4,moderate,2.236067977325766e-05
12,47.33303,-0.84962,6,moderate,3.605551275666204e-05
13,47.33299,-0.84953,4,moderate,7.071067811811313e-05
14,47.33293,-0.84944,5,steep,6.708203932295062e-05
15,47.33287,-0.84935,5,steep,0.00015297058540824135
16,47.33284,-0.84929,2,steep,0.00021840329667978536
17,47.33279,-0.8492,3,steep,0.0003195309061732718
18,47.33267,-0.84902,3,steep,0.0002308679276125757
19,47.33267,-0.84902,3,steep,0.0002308679276125757
20,47.3326,-0.84895,3,steep,0.00014999999999998348
21,47.33262,-0.84887,2,steep,7.280109889261111e-05
22,47.33266,-0.84894,3,steep,0.00015231546211641003
23,47.33274,-0.849,2,steep,0.0002441311123156913
24,47.33278,-0.84906,7,moderate,0.0002863564212666354
25,47.33283,-0.84913,5,moderate,0.00031906112267124766
26,47.3329,-0.84922,5,moderate,0.0002154065922849771
27,47.33293,-0.84927,4,moderate,0.00017262676502049362
28,47.33303,-0.8494,6,steep,7.000000000090267e-05
29,47.33311,-0.84956,6,moderate,6.0827625302285576e-05
30,47.33314,-0.84961,5,moderate,6.082762530073416e-05
31,47.33319,-0.84955,4,moderate,5.099019513515146e-05
32,47.33316,-0.84946,6,moderate,7.211102550741201e-05
33,47.3331,-0.84937,6,steep,3.0000000000085514e-05
34,47.33303,-0.84925,5,moderate,8.602325267122213e-05
35,47.33294,-0.84912,8,moderate,0.00024083189157659386
36,47.33287,-0.84904,8,moderate,0.0002418677324492741
37,47.33279,-0.849,3,moderate,0.00022825424420995247
38,47.33272,-0.84886,3,steep,0.00013416407865225654
39,47.33265,-0.8488,8,steep,5.000000000165983e-05
40,47.33265,-0.84877,1,steep,5.830951894986317e-05
41,47.33275,-0.84879,7,steep,0.00015033296378160483
42,47.3328,-0.84885,3,moderate,0.00011180339887795622
43,47.33286,-0.84892,2,moderate,0.00012649110640851178
44,47.33295,-0.84903,8,moderate,0.00023537204591759313
45,47.333,-0.84912,5,moderate,0.0002059126028214125
46,47.33309,-0.84917,5,moderate,0.000114017542509317
47,47.33319,-0.84928,6,moderate,2.236067977325766e-05
48,47.33323,-0.84932,4,moderate,3.605551275660045e-05
49,47.33325,-0.84938,6,moderate,5.3851648072893584e-05
50,47.33332,-0.84933,6,moderate,3.605551275419868e-05
51,47.33328,-0.84923,6,moderate,3.605551275429105e-05
52,47.33322,-0.84916,4,moderate,4.4721359549593665e-05
53,47.33315,-0.84904,5,moderate,0.00016155494421204227
